Content ID,Content Type,Genre,Release Date,Time of Day,Day of the Week,Duration (mins),Viewership,Average Watch Time (mins),Peak Viewership Time,Peak Viewership Day,Viewer Age,Viewer Gender,Viewer Location,Likes,Shares,Comments,User Ratings,Seasonality,Content Popularity,Competitor Content,Promotion Data,Subscription Data
15,Documentary,Action,7/20/2024,08:36 AM,Thursday,104,53365,67,04:43 PM,Sunday,25-34,Male,UK,230,711,950,2.3,Summer,Medium,Similar Doc C,30% off,15807
16,Series,Sci-Fi,07-06-2024,03:00 PM,Saturday,257,2441,64,06:54 AM,Tuesday,18-24,Male,UK,199,1879,569,1,Winter,High,Similar Thriller H,Email Campaign,18176
17,Series,Drama,7/20/2024,02:05 PM,Wednesday,807,74964,80,01:29 AM,Friday,45-54,Female,Germany,844,1234,558,2.9,Spring,Medium,Similar Romance F,Print Media,7341
18,Series,Nature,07-07-2024,04:54 PM,Friday,783,36524,129,09:54 AM,Saturday,45-54,Male,Germany,2670,345,771,1,Winter,Medium,Similar Romance F,Online Ads,11849
19,Movie,Drama,7/13/2024,06:07 AM,Sunday,113,56096,64,02:53 PM,Sunday,45-54,Female,USA,2051,164,387,3.1,Fall,Low,Similar Series B,Online Ads,12813
20,Movie,Romance,8/15/2024,08:34 PM,Wednesday,194,4713,86,12:24 AM,Friday,45-54,Male,Australia,1360,1823,1402,3.5,Fall,Low,Similar Movie A,Online Ads,9615
21,Series,Nature,7/29/2024,02:15 AM,Thursday,827,17275,84,06:21 PM,Saturday,45-54,Female,France,2526,1050,802,1.3,Fall,Medium,Similar Sci-Fi E,30% off,8633
22,Movie,Thriller,8/19/2024,01:56 PM,Saturday,144,37187,34,12:48 PM,Sunday,45-54,Female,France,1465,481,1336,5,Summer,Medium,Similar Thriller H,Email Campaign,15438
23,Movie,Thriller,09-09-2024,12:56 PM,Tuesday,192,12399,49,01:22 AM,Friday,45-54,Female,Germany,612,1160,362,3.7,Spring,Medium,Similar Doc C,Social Media,17334
24,Documentary,Drama,9/14/2024,04:01 PM,Sunday,52,58909,40,02:47 AM,Saturday,45-54,Female,UK,87,655,412,4.1,Summer,Low,Similar Action D,TV Ads,13537
25,Series,Action,7/14/2024,02:37 PM,Sunday,941,49207,101,01:45 AM,Saturday,35-44,Female,UK,1932,796,169,3.5,Spring,Low,Similar Doc C,TV Ads,3202
26,Movie,History,07-04-2024,10:36 PM,Saturday,191,88949,75,01:32 AM,Sunday,35-44,Female,Germany,569,1938,295,2.6,Summer,Medium,Similar Movie A,Social Media,9550
27,Movie,Fantasy,8/30/2024,08:48 AM,Wednesday,146,96130,45,02:35 AM,Tuesday,45-54,Female,India,1758,847,414,2.1,Summer,Low,Similar Doc C,Print Media,12589
28,Movie,Action,09-11-2024,01:14 PM,Monday,151,23044,27,06:51 AM,Friday,45-54,Female,France,1747,698,1318,2.1,Summer,Low,Similar Action D,Email Campaign,17516
29,Documentary,Action,8/22/2024,11:19 AM,Thursday,97,65258,39,11:44 AM,Saturday,35-44,Female,Australia,447,20,87,3,Summer,High,Similar Sci-Fi E,TV Ads,17132
30,Movie,History,07-02-2025,08:55 PM,Thursday,182,1467,130,04:36 AM,Sunday,35-44,Male,Canada,1526,1225,1229,4.6,Fall,Low,Similar Thriller H,Print Media,5140
31,Series,Comedy,08-04-2024,12:14 PM,Thursday,957,18777,90,06:22 PM,Friday,45-54,Male,Italy,242,1401,419,2.2,Fall,Low,Similar Series B,Print Media,2287
32,Documentary,Drama,7/19/2024,05:00 PM,Friday,54,37129,33,06:53 PM,Saturday,18-24,Female,Australia,207,89,368,1.2,Fall,High,Similar Series B,Email Campaign,3065
33,Movie,Action,09-01-2024,03:46 AM,Friday,164,25260,64,08:19 PM,Saturday,18-24,Female,India,402,734,447,3.4,Spring,High,Similar Thriller H,Social Media,11355
34,Series,Romance,7/23/2024,03:27 PM,Sunday,155,67195,73,10:21 AM,Sunday,45-54,Female,Italy,2850,582,1469,2.5,Spring,Low,Similar Sci-Fi E,Print Media,5754
35,Series,Fantasy,8/14/2024,08:11 AM,Monday,402,73472,107,11:03 AM,Tuesday,25-34,Female,Germany,597,631,635,4.9,Fall,High,Similar Movie A,Online Ads,19776
36,Movie,Romance,09-05-2024,07:19 AM,Tuesday,113,50183,68,11:36 PM,Friday,45-54,Male,India,1147,1539,130,2,Summer,Medium,Similar History G,Email Campaign,10031
37,Documentary,Nature,8/20/2024,08:49 PM,Tuesday,87,78948,27,09:31 AM,Saturday,35-44,Male,Germany,2677,510,873,1.6,Summer,Medium,Similar Series B,Email Campaign,12261
38,Movie,Comedy,08-01-2024,11:43 AM,Friday,105,58718,88,03:25 PM,Sunday,45-54,Male,India,1535,1641,1414,3,Summer,Medium,Similar Doc C,Online Ads,2871
39,Movie,Comedy,08-02-2024,09:48 PM,Friday,169,74558,101,02:38 AM,Monday,45-54,Female,Australia,911,1783,555,4.1,Fall,High,Similar History G,TV Ads,13295
40,Series,Thriller,8/13/2024,11:57 AM,Thursday,410,52177,99,10:06 PM,Tuesday,25-34,Female,Canada,101,1541,538,2.8,Spring,High,Similar Sci-Fi E,30% off,16993
41,Movie,Romance,07-09-2024,07:48 PM,Saturday,143,6133,69,05:52 AM,Wednesday,35-44,Female,Canada,2673,374,145,4.9,Spring,Medium,Similar Movie A,TV Ads,12597
42,Documentary,History,7/29/2024,02:36 AM,Friday,100,59999,28,02:15 AM,Thursday,45-54,Male,Italy,2976,701,675,4.5,Winter,High,Similar Doc C,TV Ads,8707
43,Series,Drama,07-12-2024,05:59 AM,Thursday,565,66696,32,01:40 PM,Friday,35-44,Male,Italy,2394,529,285,2.8,Winter,Low,Similar Action D,Email Campaign,745
44,Series,Comedy,8/19/2024,08:09 PM,Tuesday,484,31423,79,08:37 PM,Saturday,25-34,Female,Germany,2610,1327,881,4.9,Summer,Low,Similar Action D,30% off,19509
45,Movie,History,7/28/2024,11:53 PM,Tuesday,141,57107,49,02:13 AM,Sunday,18-24,Male,Canada,2162,355,923,4.2,Summer,Medium,Similar Sci-Fi E,Print Media,9136
46,Documentary,Romance,8/25/2024,09:02 PM,Monday,81,83904,51,04:54 AM,Tuesday,45-54,Female,UK,1707,79,1433,1.2,Fall,High,Similar Romance F,Print Media,19566
47,Documentary,Nature,8/20/2024,12:17 AM,Thursday,63,33253,48,03:15 PM,Friday,35-44,Male,Australia,327,125,287,1,Spring,Low,Similar Romance F,Email Campaign,212
48,Movie,Comedy,07-05-2024,09:12 PM,Thursday,196,94321,105,11:20 AM,Saturday,45-54,Female,France,127,47,952,2,Winter,High,Similar Series B,Email Campaign,4730
49,Movie,Fantasy,08-05-2024,11:50 AM,Friday,142,30535,74,06:58 PM,Sunday,18-24,Female,India,1187,721,715,1,Fall,Medium,Similar Series B,30% off,3019
50,Movie,History,09-08-2024,01:26 AM,Sunday,161,12332,113,01:28 AM,Friday,35-44,Male,USA,2058,1825,276,4.5,Winter,Medium,Similar Sci-Fi E,Online Ads,10089
51,Documentary,Thriller,8/29/2024,02:32 AM,Thursday,88,56163,31,06:57 PM,Saturday,18-24,Female,USA,2624,1300,1285,1.3,Spring,High,Similar History G,Print Media,4131
52,Documentary,History,08-12-2024,06:43 AM,Thursday,101,63899,76,11:56 PM,Saturday,18-24,Female,France,1068,1792,610,2.1,Spring,High,Similar Action D,Online Ads,901
53,Series,Romance,09-06-2024,10:09 AM,Friday,800,55964,82,11:50 AM,Sunday,18-24,Female,Germany,71,1059,140,3.8,Fall,High,Similar Series B,Online Ads,3292
54,Series,Action,9/14/2024,09:18 PM,Saturday,692,40865,42,12:41 PM,Tuesday,18-24,Male,Germany,529,1878,155,2.3,Winter,High,Similar Doc C,TV Ads,8804
55,Documentary,Sci-Fi,07-09-2024,06:50 PM,Monday,51,33225,37,08:25 AM,Friday,35-44,Male,Germany,1539,763,427,2.7,Summer,Medium,Similar Series B,Email Campaign,5164
56,Movie,Thriller,09-10-2024,01:22 AM,Tuesday,190,30567,110,04:45 PM,Saturday,25-34,Male,USA,2080,728,145,3,Summer,Low,Similar Series B,TV Ads,5149
57,Documentary,Thriller,8/28/2024,06:33 AM,Sunday,59,90351,42,05:23 AM,Sunday,18-24,Female,India,1130,817,325,1.8,Summer,Low,Similar Doc C,Social Media,13274
58,Series,Romance,7/28/2024,06:55 AM,Saturday,567,65440,52,02:04 PM,Friday,35-44,Female,Canada,230,1265,181,2.9,Spring,Low,Similar Series B,TV Ads,3273
59,Movie,History,09-03-2024,08:44 AM,Friday,147,63101,50,07:15 AM,Saturday,35-44,Female,Italy,2943,748,1476,1.2,Winter,Medium,Similar Thriller H,30% off,3221
60,Documentary,Action,08-04-2024,01:51 PM,Sunday,77,31137,45,01:06 AM,Sunday,35-44,Female,Canada,2076,587,470,1,Summer,Low,Similar Doc C,Print Media,16872
61,Movie,Fantasy,07-05-2024,11:39 PM,Saturday,194,23744,42,02:16 AM,Friday,35-44,Female,Germany,1549,789,859,2.1,Winter,Medium,Similar Doc C,Print Media,12267
62,Movie,Comedy,08-12-2024,07:25 AM,Friday,146,52286,69,11:48 PM,Saturday,25-34,Male,Italy,2331,493,396,1.7,Summer,Low,Similar History G,30% off,16051
63,Documentary,Nature,8/15/2024,05:37 PM,Tuesday,82,32682,49,10:51 PM,Saturday,35-44,Male,India,2476,682,123,1.1,Spring,Medium,Similar Movie A,TV Ads,3112
64,Movie,Action,07-08-2024,08:09 AM,Saturday,195,70118,50,12:45 AM,Sunday,25-34,Male,UK,1630,1068,433,3.6,Summer,Medium,Similar Thriller H,Print Media,13520
65,Movie,Comedy,07-01-2024,06:56 PM,Sunday,111,86517,27,09:32 PM,Tuesday,25-34,Male,India,2423,1173,224,1,Fall,High,Similar Movie A,30% off,6549
66,Movie,Nature,7/24/2024,10:45 PM,Saturday,99,95637,79,02:27 AM,Friday,25-34,Female,Canada,2489,331,202,1.3,Winter,Medium,Similar Sci-Fi E,TV Ads,4324
67,Documentary,Action,7/27/2024,12:35 PM,Wednesday,94,24373,43,02:28 AM,Saturday,45-54,Male,Canada,1668,483,985,1.7,Winter,Medium,Similar Sci-Fi E,TV Ads,17107
68,Documentary,Drama,7/29/2024,04:47 AM,Friday,117,80794,71,10:19 PM,Sunday,35-44,Male,France,1401,1602,393,1.3,Fall,High,Similar Action D,30% off,2191
69,Series,Nature,09-06-2024,01:42 PM,Sunday,829,53915,69,07:33 AM,Friday,35-44,Male,Australia,2385,596,640,1.9,Summer,Low,Similar Thriller H,Email Campaign,14809
70,Movie,Sci-Fi,08-03-2024,04:39 PM,Monday,94,97356,49,10:31 PM,Saturday,35-44,Female,India,1274,1720,281,2.5,Winter,High,Similar Romance F,TV Ads,3865
71,Series,Fantasy,9/13/2024,10:47 AM,Monday,767,58747,108,03:28 PM,Saturday,45-54,Male,USA,2502,1977,383,2,Fall,Low,Similar Thriller H,Online Ads,3433
72,Movie,Fantasy,08-06-2024,05:34 AM,Friday,156,38877,53,10:23 AM,Sunday,25-34,Female,Germany,445,1911,1194,3.1,Spring,Low,Similar Thriller H,Online Ads,4650
73,Series,History,7/17/2024,06:43 AM,Thursday,504,87562,121,11:28 PM,Tuesday,18-24,Female,Canada,1359,109,1029,5,Summer,Low,Similar History G,Print Media,11397
74,Movie,Comedy,09-09-2024,12:12 AM,Thursday,95,83313,45,09:26 AM,Friday,18-24,Female,UK,506,781,286,1,Fall,High,Similar History G,Social Media,12887
75,Movie,Comedy,07-06-2024,04:29 PM,Friday,134,32231,29,05:51 AM,Saturday,25-34,Male,Australia,249,701,729,4.1,Winter,High,Similar Sci-Fi E,Online Ads,17471
76,Movie,Sci-Fi,8/30/2024,06:44 PM,Tuesday,146,84521,57,09:29 PM,Sunday,45-54,Male,Italy,2783,313,300,1,Spring,Low,Similar Doc C,Print Media,14326
77,Documentary,History,8/18/2024,01:51 PM,Tuesday,111,24611,24,07:27 AM,Friday,35-44,Male,India,1469,1407,1450,1,Summer,Low,Similar Movie A,Email Campaign,11123
78,Movie,Drama,08-01-2024,01:26 PM,Friday,199,22001,82,06:56 AM,Saturday,35-44,Female,Canada,2400,1184,1426,3.6,Summer,Medium,Similar Doc C,Online Ads,3975
79,Series,Nature,07-10-2024,12:14 AM,Tuesday,868,20128,75,11:10 PM,Sunday,45-54,Male,USA,2543,753,519,4.5,Spring,Medium,Similar Action D,Social Media,18259
80,Documentary,Sci-Fi,08-12-2024,10:26 PM,Thursday,55,75853,50,06:48 PM,Friday,25-34,Female,India,407,1224,1399,3.3,Fall,High,Similar History G,Online Ads,18395
81,Documentary,Thriller,8/16/2024,06:27 AM,Wednesday,114,31986,84,02:58 AM,Saturday,45-54,Female,Canada,444,541,983,1,Spring,Medium,Similar Sci-Fi E,Print Media,9649
82,Movie,Sci-Fi,7/23/2024,10:26 AM,Sunday,188,69043,71,09:17 PM,Saturday,18-24,Female,Australia,2342,787,151,1,Fall,Medium,Similar Movie A,Email Campaign,6037
83,Movie,Nature,7/14/2024,05:29 AM,Sunday,178,96182,98,12:16 PM,Sunday,25-34,Male,India,2351,356,1449,2,Winter,High,Similar History G,TV Ads,8289
84,Documentary,Thriller,8/13/2024,05:52 AM,Wednesday,83,21395,54,10:08 AM,Tuesday,35-44,Female,Italy,2684,1155,295,1.6,Spring,Medium,Similar Action D,TV Ads,6366
85,Series,Sci-Fi,08-11-2024,05:30 AM,Tuesday,636,65993,40,07:08 PM,Friday,18-24,Female,Canada,1833,1442,1046,3,Summer,Low,Similar History G,Email Campaign,13310
86,Documentary,Comedy,08-03-2024,06:19 AM,Tuesday,88,16141,40,05:47 PM,Saturday,45-54,Male,France,2041,1071,1487,1.6,Summer,High,Similar History G,Email Campaign,16358
87,Series,Nature,08-08-2024,06:55 AM,Monday,903,7629,69,08:30 PM,Sunday,45-54,Female,Australia,2741,1575,24,2,Spring,High,Similar Series B,TV Ads,18525
88,Movie,Action,08-12-2024,05:20 PM,Sunday,171,97380,83,12:46 PM,Friday,18-24,Male,Germany,2697,1138,559,2,Spring,Low,Similar Series B,Print Media,18042
89,Movie,Drama,07-04-2024,09:16 AM,Saturday,146,45223,35,06:27 PM,Saturday,45-54,Male,Italy,2199,1868,226,4.4,Winter,High,Similar Series B,TV Ads,5093
90,Series,Romance,8/15/2024,09:32 AM,Monday,208,59047,125,07:05 AM,Saturday,25-34,Female,Australia,2643,1684,78,2.3,Fall,Low,Similar Romance F,Online Ads,10044
91,Movie,Drama,07-05-2024,02:59 PM,Wednesday,171,75755,85,06:25 PM,Sunday,35-44,Male,USA,2356,990,907,2,Winter,Low,Similar Doc C,Email Campaign,13521
92,Series,Nature,08-05-2024,04:08 AM,Saturday,712,2549,119,03:58 AM,Tuesday,25-34,Female,UK,700,1264,1031,5,Fall,Low,Similar History G,Email Campaign,19377
93,Documentary,Fantasy,09-05-2024,01:05 AM,Friday,76,79057,33,08:26 AM,Friday,25-34,Female,Italy,511,792,1401,1,Fall,High,Similar History G,TV Ads,1244
94,Movie,Nature,09-04-2024,10:16 PM,Monday,190,85564,28,08:39 PM,Saturday,25-34,Female,USA,427,1135,304,4.8,Fall,High,Similar Series B,Email Campaign,18017
95,Series,Sci-Fi,7/21/2024,03:40 PM,Monday,610,10396,102,09:47 PM,Sunday,45-54,Female,Italy,2066,1589,228,2.5,Fall,Medium,Similar Thriller H,Email Campaign,18388
96,Documentary,Drama,8/20/2024,04:50 AM,Friday,106,55078,65,10:42 AM,Friday,45-54,Female,France,1405,619,153,2,Winter,High,Similar History G,Social Media,7805
97,Documentary,Nature,07-07-2024,07:23 AM,Monday,60,64523,24,02:23 AM,Saturday,35-44,Male,Australia,2861,1204,1133,3.2,Winter,Low,Similar Movie A,30% off,12451
98,Series,Sci-Fi,8/13/2024,03:15 AM,Monday,638,66598,107,10:22 AM,Sunday,25-34,Male,Australia,2785,1430,465,3.5,Spring,High,Similar Action D,Email Campaign,136
99,Movie,Nature,7/23/2024,10:52 PM,Sunday,124,65358,40,08:04 PM,Friday,25-34,Male,Canada,956,1162,1077,4.3,Spring,High,Similar Romance F,Social Media,1011
100,Series,Sci-Fi,08-09-2024,02:00 AM,Friday,1141,45734,119,04:39 PM,Saturday,25-34,Female,UK,1247,788,1142,4.3,Fall,Medium,Similar History G,30% off,10886
101,Series,Nature,7/31/2024,09:13 AM,Friday,572,76566,61,04:43 AM,Saturday,35-44,Female,USA,2563,1707,856,3.9,Spring,High,Similar Series B,Online Ads,4525
102,Series,Drama,7/21/2024,06:22 AM,Wednesday,253,1829,98,04:34 PM,Sunday,18-24,Male,Canada,1009,1306,669,3,Spring,High,Similar Action D,30% off,7709
103,Series,Nature,7/24/2024,06:03 PM,Sunday,779,76641,116,04:53 PM,Tuesday,18-24,Female,India,158,475,1076,1,Spring,High,Similar Sci-Fi E,Print Media,16978
104,Series,Sci-Fi,09-12-2024,02:14 PM,Tuesday,1066,11348,110,02:02 AM,Friday,45-54,Male,Italy,2356,1683,960,2,Fall,Medium,Similar Sci-Fi E,Online Ads,17701
105,Series,Drama,7/27/2024,03:08 AM,Friday,1052,82709,49,07:46 PM,Saturday,35-44,Female,Germany,1428,141,650,3.9,Winter,Low,Similar Doc C,Social Media,8849
106,Documentary,Action,09-05-2024,05:51 PM,Monday,58,44145,35,08:59 AM,Sunday,35-44,Male,Italy,183,1873,1231,4.4,Fall,Low,Similar History G,Email Campaign,1010
107,Series,Thriller,7/18/2024,05:55 AM,Tuesday,493,95645,117,11:45 PM,Friday,45-54,Female,Italy,159,282,914,1.8,Winter,Low,Similar Series B,Print Media,1415
108,Documentary,Drama,08-07-2024,12:36 PM,Saturday,90,22953,34,02:52 AM,Saturday,45-54,Female,Australia,301,448,300,2,Fall,Low,Similar Doc C,Email Campaign,11079
109,Series,Sci-Fi,8/19/2024,09:42 PM,Sunday,1006,39927,107,08:27 AM,Saturday,25-34,Female,Australia,132,228,550,4.9,Summer,Medium,Similar Sci-Fi E,Online Ads,8085
110,Movie,Sci-Fi,8/30/2024,01:35 PM,Monday,186,48339,108,03:19 PM,Sunday,35-44,Male,Australia,139,1831,134,4.1,Winter,High,Similar Sci-Fi E,Email Campaign,740
111,Movie,Fantasy,07-08-2024,06:15 PM,Tuesday,161,71394,86,10:41 PM,Tuesday,35-44,Male,Italy,2758,151,1166,1.1,Spring,High,Similar Movie A,Print Media,8631
112,Documentary,Romance,7/23/2024,10:30 PM,Saturday,67,34893,39,01:08 PM,Friday,18-24,Female,Germany,1656,8,757,4.7,Spring,High,Similar Doc C,Social Media,7725
113,Documentary,Fantasy,08-04-2024,10:17 PM,Wednesday,58,8778,51,01:58 AM,Saturday,45-54,Female,Australia,2817,9,1398,3.4,Fall,Medium,Similar Romance F,Social Media,14574
114,Movie,Nature,7/16/2024,08:10 PM,Thursday,181,7271,110,04:45 PM,Sunday,35-44,Female,USA,1949,345,1266,3,Summer,Medium,Similar Series B,Social Media,19058
115,Series,Comedy,07-04-2024,01:13 PM,Friday,163,59894,129,03:07 AM,Friday,45-54,Female,Germany,843,1206,1467,4.6,Summer,Medium,Similar Sci-Fi E,Print Media,1326
116,Series,Action,7/25/2024,11:47 PM,Tuesday,123,16537,51,08:56 AM,Saturday,25-34,Female,USA,915,507,336,3,Winter,High,Similar Sci-Fi E,Social Media,13480
117,Movie,History,09-04-2024,09:32 AM,Monday,170,80175,107,11:15 PM,Sunday,35-44,Male,France,2705,1722,1339,1,Fall,High,Similar Romance F,Print Media,6459
118,Movie,Thriller,7/14/2024,03:14 AM,Thursday,139,33156,86,11:29 PM,Friday,25-34,Male,USA,583,422,96,3.1,Fall,High,Similar History G,TV Ads,12256
119,Series,Action,7/14/2024,02:10 AM,Saturday,640,59313,70,11:29 AM,Saturday,25-34,Female,France,2452,100,577,3,Winter,Medium,Similar Thriller H,Online Ads,18862
120,Documentary,Nature,7/25/2024,07:53 AM,Sunday,107,76559,85,09:26 PM,Saturday,18-24,Male,Canada,2021,1000,199,3.2,Spring,Medium,Similar Action D,Email Campaign,11270
121,Documentary,Fantasy,09-10-2024,06:14 AM,Wednesday,69,13713,24,05:30 PM,Sunday,18-24,Female,Italy,2840,629,78,3.2,Spring,High,Similar Series B,30% off,11698
122,Documentary,Fantasy,8/31/2024,05:07 AM,Wednesday,101,26409,31,06:56 AM,Tuesday,35-44,Female,France,1232,996,1042,2.4,Fall,Low,Similar History G,TV Ads,5772
123,Documentary,Fantasy,7/17/2024,09:53 AM,Saturday,50,49863,40,04:45 AM,Friday,45-54,Female,India,1040,750,45,4.4,Fall,Medium,Similar Sci-Fi E,Print Media,11897
124,Movie,Fantasy,08-12-2024,01:59 PM,Sunday,123,91292,61,04:00 AM,Saturday,18-24,Female,Italy,2538,1313,480,3.6,Spring,Low,Similar Movie A,30% off,8112
125,Movie,Thriller,09-06-2024,01:19 PM,Friday,168,93913,58,02:32 AM,Sunday,18-24,Male,Italy,749,30,1485,3,Winter,Low,Similar Thriller H,Email Campaign,2549
126,Series,Fantasy,08-06-2024,02:47 AM,Saturday,528,56943,68,08:45 AM,Friday,18-24,Female,Canada,1703,469,1492,1.7,Spring,High,Similar Doc C,Social Media,19592
127,Documentary,Thriller,8/24/2024,01:47 AM,Thursday,87,53021,33,12:17 PM,Saturday,45-54,Female,USA,96,1479,382,3,Fall,Medium,Similar Thriller H,TV Ads,4399
128,Series,Fantasy,07-05-2024,04:15 PM,Thursday,996,59215,102,03:14 AM,Saturday,35-44,Female,USA,252,1365,1105,2,Summer,Low,Similar Romance F,Social Media,34
129,Series,Fantasy,7/31/2024,03:16 PM,Friday,506,58223,42,10:15 PM,Sunday,18-24,Female,Australia,2008,692,446,1.7,Summer,Medium,Similar Sci-Fi E,TV Ads,2112
130,Movie,Thriller,8/28/2024,04:30 PM,Tuesday,167,64794,38,08:09 PM,Tuesday,45-54,Female,India,194,1228,1496,2,Spring,Medium,Similar Romance F,Email Campaign,18158
131,Movie,Drama,07-12-2024,08:50 PM,Sunday,172,23610,94,04:52 PM,Friday,45-54,Female,USA,1968,513,416,3.8,Fall,Medium,Similar History G,Social Media,10749
132,Movie,Thriller,7/29/2024,02:41 PM,Saturday,187,22628,62,09:09 AM,Saturday,25-34,Female,USA,1635,1455,560,1,Winter,Low,Similar Doc C,Social Media,6852
133,Movie,Drama,8/31/2024,01:13 PM,Saturday,145,83503,88,12:33 AM,Sunday,45-54,Female,UK,1602,644,980,4.9,Summer,Medium,Similar Thriller H,Email Campaign,6429
134,Movie,Fantasy,7/15/2024,09:43 AM,Saturday,94,65929,35,09:47 PM,Friday,18-24,Male,Canada,479,1333,1072,2,Winter,Medium,Similar Sci-Fi E,Print Media,13401
135,Movie,Romance,08-06-2024,08:01 AM,Saturday,97,20068,44,07:39 PM,Saturday,18-24,Male,UK,386,1234,391,3.6,Spring,Medium,Similar Movie A,TV Ads,9479
136,Movie,Drama,8/17/2024,07:56 AM,Wednesday,184,99744,113,04:36 PM,Sunday,25-34,Male,Italy,557,99,1082,2.9,Spring,Medium,Similar Sci-Fi E,Print Media,3102
137,Series,Sci-Fi,08-02-2024,11:27 AM,Sunday,171,62758,108,09:46 AM,Friday,35-44,Male,Germany,493,614,1067,4.1,Winter,Low,Similar Doc C,Social Media,7022
138,Documentary,Romance,7/14/2024,06:42 AM,Sunday,97,781,27,05:01 AM,Saturday,35-44,Female,Germany,446,769,997,2,Winter,Medium,Similar Action D,Social Media,15471
139,Movie,History,09-05-2024,12:54 AM,Wednesday,155,62163,32,01:30 PM,Saturday,18-24,Female,Italy,270,246,528,2,Spring,High,Similar Action D,Print Media,14841
140,Documentary,Action,08-02-2024,09:19 AM,Saturday,61,63997,32,06:38 PM,Sunday,18-24,Male,France,2643,816,1057,3,Summer,High,Similar History G,Print Media,10483
141,Documentary,Drama,7/15/2024,07:36 AM,Monday,60,72673,46,09:25 PM,Tuesday,18-24,Male,Italy,335,642,322,2.7,Winter,Low,Similar Action D,Online Ads,10062
142,Series,Comedy,7/23/2024,02:01 PM,Monday,833,61234,114,03:27 AM,Friday,45-54,Female,UK,2516,1040,528,1.1,Summer,Medium,Similar Thriller H,Social Media,4648
143,Movie,Fantasy,7/16/2024,03:15 AM,Saturday,107,4626,28,03:26 AM,Saturday,35-44,Female,Italy,1045,599,823,1.8,Winter,Medium,Similar Series B,Print Media,18006
144,Series,Drama,9/14/2024,12:21 PM,Monday,1187,84367,28,12:19 PM,Sunday,45-54,Female,Australia,991,1639,845,2.5,Fall,High,Similar Series B,Online Ads,19385
145,Documentary,Romance,07-01-2024,10:18 AM,Saturday,87,28702,47,09:03 PM,Friday,18-24,Male,Australia,1351,525,261,2.2,Winter,Medium,Similar Sci-Fi E,Online Ads,19982
146,Documentary,Comedy,09-01-2024,03:14 PM,Friday,79,17230,52,03:43 PM,Saturday,25-34,Female,Italy,946,1930,1452,1.4,Summer,High,Similar Sci-Fi E,Online Ads,16377
